,name,times,country,raiting,link_name,text_all
341,Yèssica Antùnez,30 нояб. 2019 г.,,2 звезды: Ниже среднего,Lamentable.,Lamentable.. las hamburguesas son horribles. La cajita feliz cada vez peor. La hamburguesa no existe puro pan apenas una rodaja de tomate ni siquiera trae queso; las papas fritas lo mismo. Las mc Zeta horrible. No tenía gusto a nada a parte estaba todo frío. No existe la relación precio cálidad. Ya que es carísimo para lo que se ofrece.
342,David,28 нояб. 2019 г.,CA,5 звезд: Замечательно,I love all your establishments,"I love all your establishments. Please do not poison me and do not offend me. Your buns are the softest and most enjoyable of all burgers in the world. I love Big Testy. Although you are a corporation, perhaps even a corporation is evil, but I love to go to the poppy, for example, like tonight with my wife and good food. Thank you for being. I don’t know where I would eat burgers in my city if you weren’t."
343,Carl Campbell,28 нояб. 2019 г.,,4 звезды: Отлично,When will Monopoly be back,When will Monopoly be back? I am so addicted to it. I'll maintain my sanity by eating the fries in the interim
344,hiriche sarah,26 нояб. 2019 г.,,1 звезда: Плохо,A éviter,"Pour ma part j’étais une cliente fidèle à macdo de Béziers je mange que du poisson et à chaque fois que je fais le drive poisson froid frite froide pas souriant enfin, je préviens bien que je veux tout chaud y te disent c à la commande oui mais sa reste 20 minutes dans leurs tiroirs c’est se qu’elle m’a dis la manager quand je l’ai appeller car tout étais froid super 👍 y sont top eux donc king burger plus rapide et bien chaud"
345,Lorraine Alston,24 нояб. 2019 г.,,2 звезды: Ниже среднего,Your face tells the story!,"It seems as though everytime I visit the drive through, the person who hands you the order always looks fedup about being on the job. I wish they would send their employees through a rigorous training on how to deal with customers, positively."
346,Matthew Satterfield,22 нояб. 2019 г.,,1 звезда: Плохо,I ordered a whopper,
347,Tyler David,20 нояб. 2019 г.,,5 звезд: Замечательно,Amazing Crew,I have been going to the same one for 5 years and they are the nicest crew and staff out there. They always greet with a smile and a positive attitude.
348,Allyssa,19 нояб. 2019 г.,,2 звезды: Ниже среднего,Always super slow and when there's…,Always super slow and when there's nobody behind you in they still make you pull over to the waiting spot! Super frustrating.
349,angeles,18 нояб. 2019 г.,,1 звезда: Плохо,macdonald las terrazas- Telde :Poco…,"macdonald las terrazas- Telde :Poco profesional y nasa resolutivos cuando ellos mismos general un mal servicio, llame el viernes exactamente a las 13:17 `para reservar tarta y celebra el cumpleaños del niño, me dijeron no hay problema lo apuntamos no hace falta que pase por aquí venga un poco antes y ya este, menos mal que me dio pasar antes de subir al cine y me dice a lo siento acaba de venir una Señora y le vendí al última, y tan pancha y ancha que se queda ella, no piden datos solo que no hay problema y luego no tienen, me pareció increíble no quiso montarle numerito porque no vale de nada cuando una persona lo único que quiere es sacar dinero y punto, y porque estaba mi hijo delante, imagínese la cara del niño. Pero bueno llame al de al campo y me dijeron que si tenían y me la reservaban. Yo seguro que no volveré"
350,Melody,18 нояб. 2019 г.,,2 звезды: Ниже среднего,My issues is w the app,My issues is w the app. If you use the app and scan for your deal if for any reason you can't complete the order at the kiosk. Your deal was already been used. So if have to take to the person your deal is lost. Depends on if they are willing honor what it says in your app is on the discrepancy of the manager. I have had the happen to me a few times. Sometimes you get it for the price you want. Other times. No.
351,tddvzrfsrrg fgghgfhcdgdeggdgcfggfghxhjcgghdfcd,17 нояб. 2019 г.,,2 звезды: Ниже среднего,Con o sin mahonesa,Pedí dos hamburguesa sin salsa mahomesa. Me ponen el papel de sin salsa mahonesa y me ponen la salsa mahonesa con el papel puesto de sin salsa mahonesa. Creo que no escuchan o no trabajan bien. Muy mal. Fatal
352,Michael L.,16 нояб. 2019 г.,,4 звезды: Отлично,I am more reviewing their app than I am…,"I am more reviewing their app than I am reviewing the site. I order from this all the time on my way home, works great for pickup!"
353,Maxie,12 нояб. 2019 г.,,4 звезды: Отлично,One moment please...,"Great food and value. My critique comes in the line of service for not only this chain, but most fast food chains with drive through windows. The clerks shove change, receipts, and food at the customer before the customer has a chance to put away the credit card, wallet or even buckle the seat belt. This is especially true when only one window is operating. The customer gives the method of payment, then here comes receipts, drinks, and food flying at them, with no time to put any of it away. The clerk will even rush the customer by saying phrases like ""here you go"", or ""sir"" or ""ma'am"" to get the customer's attention. Please allow me time to put my card back in my wallet, put the receipt up (particularly receipts with survey bonuses on them - you do want the feedback, right?), buckle my law-required seat belt back up, take a breath, then hand, not shove, my order to me. Your attention and consideration is greatly appreciated! Thank you!"
354,K Fowler,11 нояб. 2019 г.,,3 звезды: Средне,"Satisfying food, Long wait","Satisfying food for what you pay, long wait during busy times though"
355,Yessica Menéndez,4 нояб. 2019 г.,,5 звезд: Замечательно,Excelente servicios,
356,José Luis Giménez Ruiz,1 нояб. 2019 г.,,5 звезд: Замечательно,Rápidos,"Rápidos, efectivos y amables.
La comodidad de pagar antes en el panel de autopago y agilizar el pedido.
El poder seleccionar tranquilamente los productos, una gozada.
Están pendientes de cada cliente y tanto el local como la terraza están impolutos.

Voy a menudo y seguiré haciéndolo.

McDonalds Explanada Alicante.

Felicidades."
357,Lene Støve,Обновлено 30 окт. 2019 г.,,1 звезда: Плохо,Memphis,Been to Memphis on Elivs Presley Blv. yesterday. Dirty ALL over - drinks were hot - no ice - no napkins - no ketchup - sooooo bad
358,Barry,24 окт. 2019 г.,,1 звезда: Плохо,Absolutely terrible,"Absolutely terrible, the Fanta drink is so watered down it’s tasteless.
Won’t be going again."
359,John Doe,24 окт. 2019 г.,,5 звезд: Замечательно,Always fast service and the burgers…,Always fast service and the burgers have improved a great deal in the last 6 to 12 month's. Mainly drink their coffee which is great and at a good price.
360,neal,17 окт. 2019 г.,,5 звезд: Замечательно,All the years I’ve been going I’ve…,All the years I’ve been going I’ve never had to complain well done guys and gals 👍
361,Magnus Berger,16 окт. 2019 г.,,1 звезда: Плохо,Quality low,"Quality low, ain't doing much about nature. Should pay more..."
362,Wonka,13 окт. 2019 г.,,2 звезды: Ниже среднего,My recent experience with the…,My recent experience with the McDonald’s drive-through in Ada Michigan has been uniformly poor. Longggg delays only to be told to go park and wait for your meal to be brought to you. One day this past week it was 15 minutes from the time I ordered to the time I actually got my food. Most of that sitting in a line I could not get out of. I think management needs to clean house at that location. have had a similar experience when I go into the restaurant to order and wait and wait and wait for my order to come up while people who ordered after me are served. Several other locations nearby are very efficient. You almost don’t even come to a complete stop as you drive through the line.
363,AG,4 окт. 2019 г.,,1 звезда: Плохо,Customer service is absolutely…,Customer service is absolutely shockingly bad. Almost every time I go via the drive thru a mistake is made. Utterly useless
364,Leslie Harman,4 окт. 2019 г.,,5 звезд: Замечательно,Love it!!,Delicious cheese burgers and Superb fries. I really Liked the meals here which were fulfilling. I would Love to recommend this place to all my friends.
365,Jack Hall,29 сент. 2019 г.,,5 звезд: Замечательно,Mcdonalds are very consistent,"Mcdonalds are very consistent, you don't go for 5 star food but you know what you are getting and it's always quick and tasty."
366,Yamidiego Juarez,29 сент. 2019 г.,,1 звезда: Плохо,Horrible la atención comida fría…,Horrible la atención comida fría faltante de pedido y cuando te vas a quejar parece que vos SOS el que tenés las culpa que el pedido salga frio y con faltante en el local t02 ramal pilar .tortuguitas .
367,Javier Gonzalez,28 сент. 2019 г.,,1 звезда: Плохо,No te puedes fiar,"No te puedes fiar, tienes que comprobar los pedidos, son unos inútiles y no ponen todo lo que pides, Ladrones"
368,Al M.,21 сент. 2019 г.,,1 звезда: Плохо,Ordered Deluxe breakfast,"Ordered Deluxe breakfast, noticed it was missing the hash browns, told counter rep, they gave it to me. The Coffee was tasteless and the ketchup in the dispenser had an orange color to it. Will not return for breakfast."
369,Connor Anderson,12 сент. 2019 г.,,5 звезд: Замечательно,Happy Meal,"My experience is always great. Good food, good company. This will always be my favorite."
370,Penny Fossett,Обновлено 7 окт. 2019 г.,,1 звезда: Плохо,I went to McDonald's today score a…,I went to McDonald's today score a sausage egg and cheese bagel I don't know what they gave me the bagel wasn't even McDonald's is the nastiest place in the world to ever go to I wouldn't even waste my money you don't even get money's-worth I waste $7.50 getting garbage this morning this place is horrible they all need to be shut down
371,roger valladares,28 авг. 2019 г.,,5 звезд: Замечательно,por favor les pedimos instalar una…,"por favor les pedimos instalar una tienda o sucursal de mac donalds en el centro de Tegucigalpa ,Honduras centro américa,hace 3 meses la quitaron,es urgente que la instalen,muchos clientes están molestos!!"
372,charao gomez,20 авг. 2019 г.,,2 звезды: Ниже среднего,Deberían de poner el servicio…,"Deberían de poner el servicio recargable de bebidas gratis igual que burguer king, es una pena.
Prefiero burger King. Q"
373,MARK,Обновлено 15 авг. 2019 г.,,1 звезда: Плохо,Decline of An Icon,"In a tailspin. McDonalds food quality is beginning to dive again, and what’s up with the Coca-Cola. I used to go to McDonald’s just for their soda and end up buying something else. Either the new soda formulation is terrible, their people are not cleaning the machines or something else. I’ve tried 5 different locations around my home and all the same - poor soda quality.
Additionally, their employees are generally not engaged and lack customer service training. The drive thru staff are too busy to look you in the eye when they hand off the food, but will look at you to take your money/card. They carry-on conversations with other employees and don’t even say thank you. I understand that busy locations may have staffers giving direction, receiving direction, and/or other work related distractions, but the team should be reminded that when talking to customers those few seconds of interaction matter. This is not just at one location, but systemic. No wonder chik-fil-a is kicking their butts.
Provide Great Customer Service and Good Food at Fair Prices. We don’t need fancy stuff, and we absolutely DO NOT NEED low priced, low quality food, and a poor customer experience.

GO BACK TO BASICS. I used to be excited as a kid to go to McDonalds. My kids don’t even want to go thru your drive thru on long road trips."
374,Marvin Castillo,29 июл. 2019 г.,,1 звезда: Плохо,Que servicio mas PESIMO,Que servicio mas PESIMO. Pedi una orden con dos Mcmenus a las 8:30 de la manana al 1770. Hora mas tarde aun no llegaba mi orden. Llame y me dicen que el chofer tuvo un incoveniente y que les de 10 minutos mas. 30 minutos mas tarde despues de esos 10 minutos mi orden aun no llega. Los volvi a llamar y me dicen que esta en ruta. Que espere 5 minutos mas. 20 minutos mas tarde aun no llega la orden. Que clase de servicio es este?? Lo peor de todo que le envian la comida de lo mas fria y esperan que uno les pague el precio normal.. Creo que sera la ultima ves que compre en McDonalds. Se que para ustedes perder un cliente no significa nada pero que triste que este sea la clase de servicio que le ofrecen a uno y el nombre de Mcdonalds que hacen ver mal.
375,666,26 июл. 2019 г.,,2 звезды: Ниже среднего,There food is going right down hill,
376,Gio Bendukidze,17 июл. 2019 г.,,3 звезды: Средне,Not always a good idea to eat mcdonalds.,Why does mcdonalds in the US suck so bad compared to other countries?
377,Richahn McDonald,16 июл. 2019 г.,,1 звезда: Плохо,Disgusting,Disgusting. Haven't had in 3 years. Never will either.
378,Brando Rueda,1 июл. 2019 г.,,5 звезд: Замечательно,Very Delicious 😋,Very Delicious 😋. Recommend The Quarter Pounder / Double Quarter Pounder YUMM
379,Jennica,26 июн. 2019 г.,,5 звезд: Замечательно,McDonalds; Feed our Souls,"I'm not a fan of McDonalds until I became a McDonalds Crew for 6 months and counting. As I observed this fast food chain didn't created only to feed stomachs. Everyday, I worked in front counter, we greet the customers , take their orders and served it. With that small conversation we can contribute happiness or madness to the customers.
What made many customers chose McDonalds even they redundantly savor their menus? Ironically, their product was created and prepared for Filipinos taste buds even it was originated in other part of the world. Yes, the consistent good taste of every product was remarkable and that bothered to all customers take it over and over again.
Of course, in a world that full of different stress, McDonalds can reduce your stressors for a while. With their finger linger food and zippy floats ,you will forget the time passing by."
380,Mike J,21 июн. 2019 г.,,3 звезды: Средне,Pretty good food on average,Pretty good food on average. I like the fries and prices are low
381,Inma Gutierrez,16 июн. 2019 г.,,1 звезда: Плохо,El cuarto de libra era falso,"El cuarto de libra era falso , no tendría no 100 gramos , una hamburguesa muy pequeña. Da pena que para que los costes y los precios sean más bajos , se juegue con la calidad , una pena . Hacía años que no me comía una hamburguesa del MacDonalds, y como ha cambiado."
382,Noelia Mazacotte,16 июн. 2019 г.,,4 звезды: Отлично,Nunca hago criticas pero es una…,Nunca hago criticas pero es una vergüenza lo asqueroso de la hamburguesa que he comprado hoy la que pedí fue signature collection horrible creo que es un timo y que alguien debe de poner un poco de control proteger a los consumidores de estas estafas
383,Kathleen Longwell,15 июн. 2019 г.,,1 звезда: Плохо,You guys always seem to get my order…,You guys always seem to get my order wrong. No matter what you get it wrong there needs to be better training done.
384,Salomon Dombre,12 июн. 2019 г.,,3 звезды: Средне,Tidkrevende McDonalds ..,"Tidkrevende McDonalds ..
Jeg har blandede følelser som det er velsmakende, men jeg forstår det er ikke sunn mat ....

Datteren min elsker sine leker å samle, så jeg kan håndtere alle ulempene.

Takk for oppmerksomheten."
385,Edwin Sosa,10 июн. 2019 г.,,1 звезда: Плохо,Pagan horrible,"Pagan horrible , en su sistema si checas tarde te rebajan , los gerentes llegan tarde y por culpa de ellos te rebajan y mucho de por sí no te pagan bien y rebajandote peor uno trabaja 8 horas por una quincena me pagan 1,812"
386,Julian Navas,8 июн. 2019 г.,,1 звезда: Плохо,No volveré,Mi opinión es que para ser un restaurante se debería poder pedir en caja pero hoy fui por doce menús de niños y si eso ya es complicado una vez llegué a caja me negaron venderme allí ya que según ellos ya no están obligados a servirte así que me marché a burguer King donde fui atendido por personas que metrqtaron estupendamente solo decir que ellos se lo pierden no volveré a ir y como es la segunda vez que me pasa trataré de que mis amigos dejen de hacerlo restaurante se dice llamar jajaja
387,Lucifer Atus,4 июн. 2019 г.,,3 звезды: Средне,Not really food...,"Good old MickyD's, delicious burgers but you're just mostly eating salt and fat."
388,x2pvp,1 июн. 2019 г.,,1 звезда: Плохо,"Fatal,pido un helado de cucurucho y me…","Fatal,pido un helado de cucurucho y me traen un helado derretido con el cono de helado roto,y puesto cutremente en un vaso de cafe McDonalds."
389,Константин,1 июн. 2019 г.,RU,5 звезд: Замечательно,You have an incredibly delicious burgers,
390,Andrew Sullivan,29 мая 2019 г.,,5 звезд: Замечательно,Yeah it's fast food,Yeah it's fast food. Yeah it's cheap. Still would eat from McD anytime when I'm in a foreign country with very different (and many times hazardous for health) cusine.
391,Lew,24 мая 2019 г.,,2 звезды: Ниже среднего,Frankenfood,"The food at McDonald's is notoriously unhealthy. I call it ""Frankenfood"" because a lot of it is so processed and full of cheap filler ingredients that it doesn't exactly qualify as food in the traditional sense. Their burgers leave me feeling sick for a while after and I can tell that my body just really doesn't approve. Their fries are a bit addictive, though eating more than a few can leave me feeling off as well. For a while, I had their breakfast sausage and egg biscuits on the way to work because it was temptingly convenient to just pick them up on the way. They really filled me up, but I'm sure that those are gloriously unhealthy too. And I cringe to think what on earth the sausage is composed of.

It's a cheap gimmick, but as a kid, I did always get excited about the little toys that come with kid's happy meals -- they're part of my nostalgic memories of when I was a kid -- and some of the old toys are collector's items now. But I wasn't crazy about the categories of the boy's and girl's toys, which suggested that some toys were only for a particular gender. I preferred them to be marketed and listed as two optional toys, sure, but without the extra arrogance telling kids what they should or shouldn't be enjoying and playing with. I like the fact that they have playgrounds for kids to play on and windows for parents to watch through. Those add ons alone are great ideas, but at the same time, I don't like that they're luring families in with these family friendly add ons to push cheap, unhealthy food.

I haven't eaten there in years and I wish they would change to support a healthier society by revamping their menu. It's dirt cheap fatty Frankenfood. Kids especially need better food for their growing brains."
392,Gill,Обновлено 20 мая 2019 г.,,3 звезды: Средне,REMODELED MICKEYD'S LOOKS NICE...,"My LEAST favorite of the big three, BK and Wendy's.

The main reason I go to McDonald's is because my father likes their regular burgers. Otherwise, I would pass it up.

If MickeyD's have the BIG MAC special, I'll order that. Their famous fries which mostly everyone loves is just so - so with me. The ones that I go to were the recently REMODELED ones, looks nice and trendy."
393,Miguel Ojeda,15 мая 2019 г.,,1 звезда: Плохо,15 mayo,"15 mayo, mcdonals dos hwrmanas... Dos pedidos.... 45 minutos despues pregunto, mi numero no sale en pantalla... Me dicen que ha salido y que no he estado atento. Insisto que es mentira, no ha salido... Tras 10 minutoa de pelea 4 personas dicen lo mismo, me marcho a casa y al llegar me faltan las patatas... Cada vez que pido para llevar la cagan... Jamas me dieron un pedido correctamente.. Lentos... Un sitio atestado de terroristas de 4 años, ruido insoportable y encima... Me roban parte del pedido... No vuelvo mas. Este problema es endemico y exclusivo de mcdonalds dos hermanas... Algyien va a hacdr algo para que dejen de robar a los clientes parte de sus pedidos????"
394,Nick,9 мая 2019 г.,US,2 звезды: Ниже среднего,The burgers in this restaurant are…,The burgers in this restaurant are disgusting. these burgers made from cheap meat. I do not recommend it.
395,Kevin Miop,5 мая 2019 г.,,3 звезды: Средне,New menu is good but the place in…,New menu is good but the place in Toronto is dirty.
396,leire,Обновлено 24 апр. 2019 г.,,1 звезда: Плохо,Denunciable,"Han echado hoy de la empresa en el MC Donald's de Bilbao Hurtado amezaga a mi hermana por cogerse durante una semana una baja por enfermedad,lamentable y denunciable,si os ha pasado por favor quejaros,no dejéis pasarlo"
397,Ednei,19 апр. 2019 г.,,1 звезда: Плохо,MC Donald's drive tur Florianópolis-…,"MC Donald's drive tur Florianópolis- Rua Frei Caneca, 121 Bairro Agronômica
Foi pedido no drive tur 3 pedidos para colocar em separado, mas cobrado na mesma conta, até aí tudo bem, quando fui retirar o lanche a guria entregou um pacote com tudo, quando reclamos e falamos que era separado devido ser para 3 pessoas diferentes e que iriam comer em lugares diferentes a guria do atendimento falou se quiser saco para dividir eu forneço, mas não vou separar os pedidos?!?!?!! Como assim???
Fomos obrigados a aceitar os sacos para dividir os lanches.
Péssimo, uma cidade turística despreparada para receber os turistas, sabendo que gentileza gera gentileza, uma pena!"
398,sheila brightman,18 апр. 2019 г.,US,5 звезд: Замечательно,My children love it,My children love it. You always know what you get. The new order terminals are great.
399,CL Ooi,8 апр. 2019 г.,,4 звезды: Отлично,Best fast food in Singapore and…,Best fast food in Singapore and Malaysia. Price affordable and food is quite nice! Feel good to meet McDonald's =D
400,Angel Lopez,7 апр. 2019 г.,,1 звезда: Плохо,"Malísima esta gente,en cuanto tienen un…","Malísima esta gente,en cuanto tienen un poco de gente y de presión te dan la hamburguesa que quieren y como quieren,se le olvidan las patatas,las pajitas el kepchu...en resumen no tienen ganas de trabajar"
401,HoodieGuy,6 апр. 2019 г.,US,1 звезда: Плохо,Offering me food taken by someone else? Not on my watch.,"I went to my local mcdonalds to grab a quick bite, goes normal, i order and what i get is not quickly preparable, so i wait and someone in front of me gets MY food and walks up to the window in between MY car and hands it to the people in the pick up window, and they try to hand it to me. I say No, remake it. they remake it and drive off. i haven't had a bad experience since but that was just LUDICROUS."
402,Fabrox,5 апр. 2019 г.,,1 звезда: Плохо,Tarde,"Es horrible, cuando te dan algo te lo dan a lo ultimo cuando sos el primero todavia te lo traen con cualquier cosa"
403,Jonah,4 апр. 2019 г.,,5 звезд: Замечательно,I'm a healthy guy (healthy diet,"I'm a healthy guy (healthy diet, enough sleep, medication where necessary, some exercise, have a fulfilling career, etc.), but if I want to binge on a hamburger and fries, McDonald's is probably my top choice for that quick, addicting hamburger and fries.

I eat here very rarely, but I can get behind their food."
404,Michael,4 апр. 2019 г.,,1 звезда: Плохо,"Our car was damaged and all McDonalds could do was lie,defraud, threaten and intimidate us","We went to the McDonalds in Nunawading (Australia) on Saturday 29 March at around 12:30pm, with about 30 others to celebrate an under 12's basketball grand final. We entered the McDonalds car park and parked our car in just about the only spot left. We parked in a spot about a metre away from the McDonalds building, in clear site of the two (or three) car service windows and in the same spot as about 25 to 30 other people visiting McDonalds.
About an hour later we returned to our car and reversed to leave the car parking spot. We heard a strange noise near the bumper so stopped the car and went to have a look at what might be causing the noise. What we saw was shocking. Our bumper had hooked onto a bolt sticking out of the ground and the car park was massively uneven, almost like the area had been hit with an earthquake. On this day, it was 9 degrees outside and raining for many hours. I think it was the coldest March day Melbourne experienced for some years.
Soon after realising what happened we went into the store and met the shift manager, telling him the brief story of what happened ie visit McDonalds, park in their car park and damage that occurred. The shift manager immediately asked where we parked our car and I pointed to it and he said that is not a McDonalds car park.
He then took us outside and showed as a sign that reads that certain car parks are for other businesses. There are also words to the affect that your car could be towed. The shift manager explained that we were in a tow away zone and cars are towed all the time. I told the shift manager that was nonsense as the sign can't be read when you enter from our direction ie it is behind the sign displayed when you enter.
The shift manager insisted he observes this car park all the time and cars are towed all the time. I showed the shift manager the direction from which we entered and that we could not possible see the sign as we drove and parked our car.
Shortly after these discussions, I thought about what he said and went back to ask him another question. I explained to the shift manager that the sign was erected by the body corporate of other businesses to fulfil a duty of care to those business ie a cheap and nasty sign to discourage train travellers, McDonalds customers or the like parking in that car park. The sign couldn't be observed, let alone read when I drove to park my car, after entering the McDonalds car park. Further, the car park is not physically separated in any manner from the McDonalds car park.
It is akin to driving into an ALDI car park, you park your car under the building and ALDI later claim there was sign erected by the milk bar next door, which you couldn't read (or even observe) and that makes these 25 spots the milk bars problem and not ours. It is also no different to walking into a McDonalds store, putting your child in the playground, the child injuring themselves because of faulty equipment and McDonalds saying it is not their problem because there was a sign put up by some other business, that you couldn't read when entering.
The car park where we damaged our vehicle is incredibly flawed and dangerous. There could be no argument that our car was damaged due to negligence. I explained this situation to the shift manager and asked him what have McDonalds done to fulfil their duty of care to us ie what signs have they put up warning of these dangers ie letting us know we were exiting the McDonalds car park. We do not leave McDonalds when we cross some imaginary line that cannot be known to us.
Amazingly - the shift manager immediately changed his story and said that we knew we hadn't parked in the McDonalds car park. I explained that we just approached him with concerns about our experience parking in the McDonalds car park and that was the first to tell us we weren't in the McDonalds car park and he had to show us the sign (that can't be read when driving from our direction) that alludes to this. He kept insisting that we never had such a discussion and that we knew we didn't park in the McDonalds car park when we parked our car. This behaviour is obviously corrupt, dishonest, unethical and disgusting, but is was also very traumatic given what we had just been through.
I then explained to the shift manager that we had been recording (via video) everything that had taken place from shortly after we knew we were involved in an accident and what he said would likely be recorded. The shift manager then began threatening us and making insinuations that we had broken the law and if we ever told anyone or shared the recording with that he would pursue us with the suggestion we had broken the laws. He was basically saying the McDonalds would screw us over and make up any lie about what took place to prevent them being held accountable.
At some point I asked the shift manager why McDonalds had not put up signs to warn customers they were moving from one car park to the next, especially given McDonalds must have known so many of their customers parked in same car park as myself. The shift manager immediately began saying he had never seen anyone going to McDonalds park in that car park and he had never looked at that car park. Please note, that car park sits one metre away from the McDonalds building and anyone working inside looks through glass windows and sees it happening all day, every day. Please also remember the shift manager just minutes earlier explained in great detail how he watches that car park closely and sees car being towed all the time from that car park. Further, the drive thru windows all have staff in them looking directly at people getting in and out of these cars all day long (more so on the weekends and evenings) holding bags of McDonalds food.
I asked the shift manager how he could possible not anything happening outside the front door of the store, nothing outside either drive thru window and nothing out of the walls that are glass in the kitchen - yet McDonalds fulfil their duty of care to customers. The shift manager made the amazing revelation that he is trained not to look for anything outside the store and is told that once a customer walks out the store, whatever happens is their problem. The shift manager indicated he has been trained to only look for problems (and remedy problems) inside the store.
The shift manager eventually asked me to provide my phone number and licence number on a piece of paper he provided. I went to our car to provide the registration number. When we arrived at our car I showed the shift manager the damage and I explained how we were stuck, that it was just after midday on a Saturday and RACV may not be able to get us out of this position. I also looked at all the McDonalds staff looking at us from two or three metres away, from drive thru windows or through glass walls and asked him how over all these years could he have not known or seen one customer park in this car park. The shift manager kept repeating the same nonsense about never seeing, never knowing etc.
As the manager walked away from us he walked past (almost bumping shoulders with) a large family walking back to the car parked next to us, many of them carrying McDonalds bags stuffed with food. I politely asked the shift manager to return to our vehicle and asked him if he saw those customers he just walked past, who were now standing right in front of us. The shift manager refused to look at them and said words to the affect that he saw nothing (he sees nothing).
When I called the RACV I told them the general location of the vehicle and informed RACV we were parked in the McDonalds car park. While we waited for the RACV, numerous McDonalds customers continued to park in this same car park and enter/exit the store, in plain view of numerous staff working at the McDonalds.
When the RACV attendant arrived, he immediately drove to the location of our vehicle, which supposedly isn't a McDonalds car park. I asked the RACV attendant a number of questions while he was with our car. Initially I asked him if he had a problem finding the McDonalds car park and he indicated that he had no problem as he has worked in the area for many years.
I also asked the attendant if he visits the store often and he said he does a lot while on the road, often just to use the toilets. The point being, that someone working in the area for more than a decade, who visits the store frequently, believed they were in a McDonalds car park.
What is most concerning about my experience with McDonalds is that the shift manager was seemingly trained on what lies to tell in order to avoid a negligence claim, when McDonalds have likely failed in their duty of care. The first line of defence he tried was McDonalds have identified, assessed and rectified the problem, so they have fulfilled their duty of care - which is a common defence.
When the shift manager realised that McDonalds had likely done nothing to rectify the problem, without hesitation he immediately switched to the other line of defence. That line of defence was a position that was completely the opposite of what he had just been saying ie McDonalds had no idea the problem existed, never saw it, never heard about it etc.
Before you eat at McDonalds again just think how you will feel if your child started choking, fell off the playground equipment and died, had an anaphylactic reaction or the like and the store manager you were speaking to initially pointed out the problem and said they were aware about it. Then only a minute or two later, the same manager begins insisting they never highlighted the problem to you and you were aware of the risks before you put your child in that situation. Just imagine for a moment how you would feel in this situation. Then begin to imagine the same manager beginning to threaten and intimidate you because you had the ""audacity"" to begin recording once your child had died, become injured or the like."
405,Jaime Murcia,31 мар. 2019 г.,,1 звезда: Плохо,Esta bien el sitio pero siempre traen…,Esta bien el sitio pero siempre traen las cosas con lo que les da la gana
406,Kiaramby,27 мар. 2019 г.,,4 звезды: Отлично,EL DESAYUNO DE DONUT STIK,"EL DESAYUNO DE DONUT STIK, O COMO SE ESCRIBA ESOS DONUTS NECESITAN CREAM CHEESE, O ALGUNA CREMA DULCE..PARA DARLE EL TOQUE IDEAL...💗"
407,Raymond Banuelos,14 мар. 2019 г.,,2 звезды: Ниже среднего,Taste good,"Taste good, bad for your health"
408,Juan,4 мар. 2019 г.,,1 звезда: Плохо,Tras realizar pedido online a través de…,"Tras realizar pedido online a través de la app móvil, nos remite a la app de glovo, que es la encargada de llevarlo a casa.
Una vez recibido se comprueba que el pedido es erróneo, pero el local encargado de tramitarlo, situado en la Avda. Mariano Rojas de Murcia, no quiere asumir el error echando la culpa al mensajero de Glovo.
Postura lamentable que tendrá consecuencias legales y espero sirva de aviso a otros usuarios"
409,Deanna Fidlin,3 мар. 2019 г.,,4 звезды: Отлично,4 stars because without this sandwich…,"4 stars because without this sandwich you're minus a star!!!
I had an awesome dream last night where I was receiving free mcdonalds food from you guys and it was a hot pepper burger with peamale and hollandaise sauce. You guys NEED this on your menu! It would 100% get lots of buyers, I feel it would compliment the greasy whole hearted lovin of mcdoanlds. Seriously was a dream come true to eat such a good burger last night. Sad part is it isn't actually on your menu, hmmm.. suspicion."
410,Alberto Pascual Forciniti Galotta,27 февр. 2019 г.,,5 звезд: Замечательно,Funciona en forma deficiente el wifi…,"Funciona en forma deficiente el wifi del Mac Donald de cabildo y Lacroze,gracias"
411,Transilvano La Mano De Dracula,21 февр. 2019 г.,,1 звезда: Плохо,Asco asco y mas asco,"Asco asco y mas asco, increíble lo que ha descendido la calidad de los productos además después de esperar media hora por un batido me echan más hielo que sustancia que ni echáis helado puercos agarrados echáis hielo vergüenza hos debería de dar"
412,Francisca Mir,18 февр. 2019 г.,,5 звезд: Замечательно,Muy contenta,
413,Tashaunna,17 февр. 2019 г.,,1 звезда: Плохо,Went to the one in forest va,Went to the one in forest va. And fries were cold and the nuggets were NOT done. I will never spend another dime in any McDonalds company again. Also told co-workers to stay away from this company.
414,Gemal Abdella,14 февр. 2019 г.,US,5 звезд: Замечательно,Not sure why people complain a lot,"Not sure why people complain a lot. Whenever I've tried it, I had a good experience. Love the taste!"
415,miquel garcia garcia,11 февр. 2019 г.,,2 звезды: Ниже среднего,Es umillante que en este…,"Es umillante que en este establecimiento el comportamiento de algunos trabajadores por su falta de respeto al cliente ( por reírse de sus clientes )
Al ver esto me dan ganas de no volver a hacer un pedido .
Lo veo fatal y espero que pongan una solución"
416,David Brozovan,9 февр. 2019 г.,US,3 звезды: Средне,Spicy McChicken + Receipt = POISON,"I got a spicy mcChicken and would you believe it?? The darn burger came with an actual receipt in between the bun! I went right up and demanded to speak with the manager and you know what they told me? That I could get another one for free........ oh man! I wanted a darn burger WITHOUT a darn invoice in the mayonasse, Do not trust them! Paper is Poison for your body."
